 사십,40,5483
 백, One hundred,5482
 맛없다, Bad flavor,5481
 국제선, International airline,5480
 국민적, National or  for citizens,5479
 홍차," Tea, black tea",5478
 큰아버지, Uncle older than one’s father,5477
 칼국수, Knife-cut noodles,5476
 칠, Seven,5475
 최소," At the least, the minimum",5474
 체육관, Gymnasium,5473
 주차, Parking,5472
 입국, Entering a country,5471
 요리하다, To cook (food),5470
 외할아버지, A maternal grandfather,5469
 아이스크림, Ice cream,5468
 선물하다, Give a gift,5467
 닷새, Five days,5466
 강아지, Puppy,5465
 화요일, Tuesday,5464
 장인," A man’s father in law, the wife\\`s father",5463
 일흔, Seventy,5462
 이따가, A little later,5461
 외아들, The only son,5460
 여든, Eighty,5459
 비빔밥, Vegetarian dish of rice and vegetables,5458
 복숭아, Peach,5457
 미끄럽다, To be slippery,5456
 문학적, Literary,5455
 독일어, German,5454
 단풍, Fall foliage,5453
 냉면, Cold noodles soup,5452
 기념품, A momento,5451
 게으르다, Lazy,5450
 파란색, Blue,5449
 퇴원, Leaving the hospital,5448
 천둥, Thunder,5447
 장미, A rose,5446
 우표, A postage stamp,5445
 예약하다," To book in advance, pledge",5444
 아홉, Nine,5443
 시내버스, Inner-city bus,5442
 서른, Thirty,5441
 생신, A birthday,5440
 삼계탕, Chicken soup,5439
 모레, The day after tomorrow,5438
 대장," A seal, stamp",5437
 기혼, Married,5436
 갈비, The ribs,5435
 하순, The final third of the month,5434
 퇴원하다, To leave the hospital,5433
 초순, The first third of a month,5432
 장갑, A pair of gloves,5431
 잠옷, Pajamas,5430
 작은아버지, An uncle younger than your father,5429
 일본어, Japanese,5428
 아래층, Lower floor,5427
 수영장, Swimming pool,5426
 손녀, Granddaughter,5425
 소포," A parcel,package",5424
 사," four,the fourth",5423
 분홍색, Pink color,5422
 반말, Crude language,5421
 미역, Brown seaweed,5420
 대중적, Of the masses,5419
 단추, A button,5418
 고속버스, Bus for the freeway,5417
 고궁, An ancient palace,5416
 튀김, Batter-fried food,5415
 지하도, Underground road,5414
 지우개, An eraser,5413
 중국집, Chinese restaurant,5412
 장모, A man’s mother in law,5411
 예술적, Artistic,5410
 영화관, Movie theater,5409
 못생기다, Ugly,5408
 목요일, Thursday,5407
 다이어트, Diet,5406
 늦가을, Late autumn,5405
 나흘, Four days,5404
 구,9,5403
 현대적, Modern (adj),5402
 탁구," ping-pong,table tennis",5401
 크리스마스, Christmas,5400
 칠판, The blackboard,5399
 추가하다," To add sth, to supplement",5398
