 Oldest daughter, 큰딸,5494
 A soccer ball, 축구공,5493
 Green, 초록색,5492
" A medical diagnosis, investigation", 진찰,5491
 Ginseng tea, 인삼차,5490
 The upper floor, 위층,5489
 Monthly rent, 월세,5488
 A ceremony hall, 예식장,5487
" Age, years of age", 연세,5486
 a way to make contact (usually means a phone number), 연락처,5485
 Ophthalmology, 안과,5484
40, 사십,5483
 One hundred, 백,5482
 Bad flavor, 맛없다,5481
 International airline, 국제선,5480
 National or  for citizens, 국민적,5479
" Tea, black tea", 홍차,5478
 Uncle older than one’s father, 큰아버지,5477
 Knife-cut noodles, 칼국수,5476
 Seven, 칠,5475
" At the least, the minimum", 최소,5474
 Gymnasium, 체육관,5473
 Parking, 주차,5472
 Entering a country, 입국,5471
 To cook (food), 요리하다,5470
 A maternal grandfather, 외할아버지,5469
 Ice cream, 아이스크림,5468
 Give a gift, 선물하다,5467
 Five days, 닷새,5466
 Puppy, 강아지,5465
 Tuesday, 화요일,5464
" A man’s father in law, the wife\\`s father", 장인,5463
 Seventy, 일흔,5462
 A little later, 이따가,5461
 The only son, 외아들,5460
 Eighty, 여든,5459
 Vegetarian dish of rice and vegetables, 비빔밥,5458
 Peach, 복숭아,5457
 To be slippery, 미끄럽다,5456
 Literary, 문학적,5455
 German, 독일어,5454
 Fall foliage, 단풍,5453
 Cold noodles soup, 냉면,5452
 A momento, 기념품,5451
 Lazy, 게으르다,5450
 Blue, 파란색,5449
 Leaving the hospital, 퇴원,5448
 Thunder, 천둥,5447
 A rose, 장미,5446
 A postage stamp, 우표,5445
" To book in advance, pledge", 예약하다,5444
 Nine, 아홉,5443
 Inner-city bus, 시내버스,5442
 Thirty, 서른,5441
 A birthday, 생신,5440
 Chicken soup, 삼계탕,5439
 The day after tomorrow, 모레,5438
" A seal, stamp", 대장,5437
 Married, 기혼,5436
 The ribs, 갈비,5435
 The final third of the month, 하순,5434
 To leave the hospital, 퇴원하다,5433
 The first third of a month, 초순,5432
 A pair of gloves, 장갑,5431
 Pajamas, 잠옷,5430
 An uncle younger than your father, 작은아버지,5429
 Japanese, 일본어,5428
 Lower floor, 아래층,5427
 Swimming pool, 수영장,5426
 Granddaughter, 손녀,5425
" A parcel,package", 소포,5424
" four,the fourth", 사,5423
 Pink color, 분홍색,5422
 Crude language, 반말,5421
 Brown seaweed, 미역,5420
 Of the masses, 대중적,5419
 A button, 단추,5418
 Bus for the freeway, 고속버스,5417
 An ancient palace, 고궁,5416
 Batter-fried food, 튀김,5415
 Underground road, 지하도,5414
 An eraser, 지우개,5413
 Chinese restaurant, 중국집,5412
 A man’s mother in law, 장모,5411
 Artistic, 예술적,5410
 Movie theater, 영화관,5409
 Ugly, 못생기다,5408
 Thursday, 목요일,5407
 Diet, 다이어트,5406
 Late autumn, 늦가을,5405
 Four days, 나흘,5404
9, 구,5403
 Modern (adj), 현대적,5402
" ping-pong,table tennis", 탁구,5401
 Christmas, 크리스마스,5400
 The blackboard, 칠판,5399
" To add sth, to supplement", 추가하다,5398
 Reading room, 책방,5397
" pavement,sidewalk", 인도,5396
 The front gate, 앞문,5395
 Bitter (vegetables), 쓰다,5394
 Of the times, 시대적,5393
 Place to ski, 스키장,5392
 Cost of living, 생활비,5391
 Pigeon, 비둘기,5390
 Bowling, 볼링,5389
 Roasted sth, 볶음,5388
 Grammar, 문법,5387
 A rainbow, 무지개,5386
 Necklace, 목걸이,5385
 Fourth, 넷째,5384
 Internal medicine, 내과,5383
 A Jeju orange, 귤,5382
 Offer a performance, 공연하다,5381
 To become worried, 걱정되다,5380
 To give a lecture, 강의하다,5379
" To be exacting, tolling", 힘들어하다,5378
 Hope, 희망하다,5377
" Get cloudy, overcast", 흐려지다,5376
 Waste paper basket, 휴지통,5375
 Tells you the room number, 호실,5374
" Ha-ha, with a laugh", 허허,5373
 Cell phone, 핸드폰,5372
 A swimming beach, 해수욕장,5371
 A lifetime, 한평생,5370
" Midwinter, the dead of winter", 한겨울,5369
 To get loose; to turn soft (noodles), 풀어지다,5368
 A weekday, 평일,5367
 In a special class, 특급,5366
 Oldest son, 큰아들,5365
" A loud voice, loudly", 큰소리,5364
 Concert, 콘서트,5363
 An elephant, 코끼리,5362
" VST + Do away with, get rid of", 치우다,5361
 A curative means, 치료법,5360
 To be added, 추가되다,5359
 Blue jeans, 청바지,5358
" Discretion, prudence (Become sensible, wise)", 철,5357
" To be at a loss, be confused", 쩔쩔매다,5356
" intelligence,intellect, raw intelligence", 지능,5355
" An incantation, a spell", 주문,5354
 A paper cup, 종이컵,5353
" sleepiness,drowsiness", 졸음,5352
" Feel sleepy,drowsy", 졸리다,5351
" To be exhibited,ddisplayed", 전시되다,5350
 Put to sleep, 재우다,5349
 To join/enter a company, 입사하다,5348
 Now, 인제,5347
 To get divorced, 이혼하다,5346
 The opposite sex, 이성,5345
 Emigration, 이민,5344
" A superior, one’s older somebody", 윗사람,5343
 (one-piece) a dress, 원피스,5342
 A white dress shirt, 와이셔츠,5341
 This fall, 올가을,5340
 Office hotel (studio apt), 오피스텔,5339
 The room next door, 옆방,5338
 To bear fruit, 열리다,5337
 Female employee, 여직원,5336
" Freeze, make ice", 얼리다,5335
" wash,be washed", 씻기다,5334
 To become distasteful, 싫어지다,5333
" To cool, let cool. 차게 하다", 식히다,5332
 Articles for food, 식료품,5331
 Twenty, 스물,5330
" repair,mending", 수리하다,5329
 Consumption, 소비하다,5328
 To be sexy, 섹시하다,5327
 Length, 세로,5326
 A fan, 선풍기,5325
 Necessities for daily life, 생활용품,5324
" End in a tie, to be even-even.  Same as 무승부를 기록하다", 비기다,5323
" bulk,size", 부피,5322
 Be diligent, 부지런하다,5321
" Chick, baby chicken", 병아리,5320
 To translate, 번역하다,5319
 Volleyball, 배구,5318
" Night and day, always", 밤낮,5317
" Be safe, peaceful", 무사하다,5316
 Be indifferent to, 무관심하다,5315
 Go deaf, 먹다,5314
 Every time, 매번,5313
 To hang, 달다,5312
 Basketball, 농구,5311
 Tree-planting, 녹화,5310
 Contents, 내용물,5309
 A heated room, 난방,5308
 Be steady or  unflagging, 꾸준하다,5307
 Flower seed, 꽃씨,5306
 Peel or  husk, 까다,5305
 To be remembered, 기억되다,5304
 A line (draw), 금,5303
 Government established, 국립,5302
 Tuition or  the cost of a school education, 교육비,5301
 Outside the school or  extramural, 교외,5300
 Inspection or  viewing, 관람,5299
 Red pepper powder, 고춧가루,5298
 Rubber shoes, 고무신,5297
 Materials, 거리,5296
 North of the river, 강북,5295
 Emotional, 감정적,5294
 Quietly or  softly, 가만,5293
" Get frightened, scared", 혼나다,5292
" Shape, form", 형,5291
 Marine products, 해물,5290
 One or two, 한둘,5289
 Student, 학교생활,5288
 China, 중국,5287
 Normally, 평상시,5286
 Paint, 페인트,5285
 T-shirts, 티셔츠,5284
" Strongly, firmly", 튼튼히,5283
" A debator, a disputant", 토론자,5282
 Kilo, 킬로,5281
 Cosmos, 코스모스,5280
 Condition, 컨디션,5279
 Curry, 카레,5278
 Unfashionable, 촌스럽다,5277
 An invitation (card), 초청장,5276
" A beginner, neophyte", 초보자,5275
" approval,assent", 찬성,5274
 Put a thing on a person’s back, 지우다,5273
" A kettle, teakettle", 주전자,5272
 Respectful speech, 존댓말,5271
 A railroad station, 정거장,5270
 Traditional culture, 전통문화,5269
 Exclusive store, 전문점,5268
 An electric bulb, 전구,5267
" sneeze,sneezing", 재채기,5266
 The year before last, 재작년,5265
" luck,fortune", 재수,5264
 A funeral, 장례식,5263
 Natural, 자연적,5262
 Commit suicide, 자살하다,5261
 barber’s shop, 이발소,5260
" This way, this direction, here", 이래서,5259
 Two, 이,5258
" consultation,conference", 의논,5257
 A phonograph record, 음반,5256
 Up and down, 위아래,5255
" To insult, to say bad words", 욕하다,5254
 To go out (of doors), 외출하다,5253
 Of foreign manufacture, 외제,5252
 This summer, 올여름,5251
" Some, somewhat", 얼마간,5250
" Mewing, meowing", 야옹,5249
 A bitter flavor, 쓴맛,5248
 To make a mistake, 실수하다,5247
 Physical, 신체적,5246
 one’s husband’s parents, 시부모,5245
 one’s husband’s family/house, 시댁,5244
" Be gentle,docile", 순하다,5243
 A lady, 숙녀,5242
 Take a person by the hand, 손잡다,5241
" Inner heart,feeling", 속마음,5240
 A church, 성당,5239
 Master, 석사,5238
" poor,awkward", 서툴다,5237
 The standard of living, 생활수준,5236
